Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,34,7,232,12.91,0.000%,138.08912,260.54,212.27,1932.0
Burst1:Trigger PDF Generation,5000,32,7,241,12.45,0.000%,145.75560,275.00,224.05,1932.0
Burst2:Trigger PDF Generation,10000,32,7,322,13.75,0.000%,148.49794,280.20,228.28,1932.1
Burst3:Trigger PDF Generation,20000,30,7,257,11.24,0.000%,158.42337,299.00,243.54,1932.7
Burst4:Trigger PDF Generation,40000,30,7,392,12.39,0.000%,157.70259,297.64,242.43,1932.7
Burst5:Trigger PDF Generation,80000,29,7,1051,13.35,0.000%,161.10226,303.97,247.66,1932.1
TOTAL,165000,30,7,1051,12.91,0.000%,156.98378,296.23,241.32,1932.3
