Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,28,7,234,11.47,0.000%,162.30078,306.24,249.49,1932.2
Burst1:Trigger PDF Generation,5000,28,7,92,11.58,0.000%,164.20901,309.85,252.43,1932.2
Burst2:Trigger PDF Generation,10000,29,7,238,11.75,0.000%,163.27330,308.08,251.00,1932.2
Burst3:Trigger PDF Generation,20000,29,7,216,11.41,0.000%,163.80956,309.08,251.82,1932.1
Burst4:Trigger PDF Generation,40000,29,7,532,14.18,0.000%,162.92615,307.41,250.46,1932.1
Burst5:Trigger PDF Generation,80000,29,7,254,11.86,0.000%,164.33044,310.06,252.62,1932.1
TOTAL,165000,29,7,532,12.38,0.000%,163.63934,308.76,251.55,1932.1
