Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,29,7,489,17.01,0.000%,160.44668,302.73,246.65,1932.1
Burst1:Trigger PDF Generation,5000,28,7,238,12.63,0.000%,165.62324,312.49,254.60,1932.1
Burst2:Trigger PDF Generation,10000,28,7,163,11.90,0.000%,165.02195,311.37,253.69,1932.1
Burst3:Trigger PDF Generation,20000,29,7,260,12.37,0.000%,165.33435,311.96,254.16,1932.1
Burst4:Trigger PDF Generation,40000,29,7,1050,13.36,0.000%,164.64767,310.67,253.10,1932.2
Burst5:Trigger PDF Generation,80000,29,7,534,12.91,0.000%,164.86551,311.08,253.44,1932.1
TOTAL,165000,29,7,1050,13.18,0.000%,164.53617,310.45,252.93,1932.1
