Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,29,7,241,11.23,0.000%,159.22806,300.43,244.77,1932.1
Burst1:Trigger PDF Generation,5000,29,7,85,10.89,0.000%,163.00450,307.55,250.58,1932.0
Burst2:Trigger PDF Generation,10000,29,7,293,12.06,0.000%,159.66279,301.23,245.44,1932.0
Burst3:Trigger PDF Generation,20000,29,7,385,13.64,0.000%,162.62939,306.87,250.00,1932.2
Burst4:Trigger PDF Generation,40000,29,7,282,11.66,0.000%,162.97727,307.50,250.54,1932.1
Burst5:Trigger PDF Generation,80000,29,7,1058,12.89,0.000%,163.57644,308.64,251.46,1932.1
TOTAL,165000,29,7,1058,12.50,0.000%,162.69638,306.98,250.10,1932.1
