Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,39,14,3095,116.22,0.000%,122.77019,249.91,191.72,2084.4
Burst1:Trigger PDF Generation,5000,26,14,2867,45.91,0.000%,159.56598,324.84,249.17,2084.6
Burst2:Trigger PDF Generation,10000,22,14,532,15.09,0.000%,209.37585,426.20,326.98,2084.4
Burst3:Trigger PDF Generation,20000,22,14,1030,18.45,0.000%,214.71207,437.07,335.30,2084.5
Burst4:Trigger PDF Generation,40000,22,14,2350,21.95,0.000%,215.39655,438.47,336.37,2084.5
Burst5:Trigger PDF Generation,80000,22,14,1042,17.06,0.000%,216.55920,440.85,338.19,2084.5
TOTAL,165000,23,14,3095,34.84,0.000%,203.86806,415.00,318.37,2084.5
