Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,22,14,835,15.10,0.000%,203.24377,413.70,317.40,2084.3
Burst1:Trigger PDF Generation,5000,21,14,452,14.28,0.000%,217.09869,441.91,339.03,2084.4
Burst2:Trigger PDF Generation,10000,21,14,1027,15.63,0.000%,217.32516,442.37,339.38,2084.4
Burst3:Trigger PDF Generation,20000,21,14,966,16.30,0.000%,218.26913,444.30,340.86,2084.4
Burst4:Trigger PDF Generation,40000,21,14,1046,17.33,0.000%,218.52311,444.81,341.26,2084.4
Burst5:Trigger PDF Generation,80000,21,14,1082,18.69,0.000%,218.12748,444.00,340.64,2084.4
TOTAL,165000,21,14,1082,17.59,0.000%,217.03815,441.78,338.94,2084.4
