Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,21,14,1030,18.86,0.000%,201.30040,409.70,314.37,2084.1
Burst1:Trigger PDF Generation,5000,23,13,2996,45.82,0.000%,181.29736,368.99,283.13,2084.1
Burst2:Trigger PDF Generation,10000,21,14,930,15.76,0.000%,208.43321,424.20,325.50,2084.0
Burst3:Trigger PDF Generation,20000,21,14,1024,16.47,0.000%,214.29337,436.13,334.65,2084.0
Burst4:Trigger PDF Generation,40000,21,14,1054,15.95,0.000%,220.77736,449.35,344.78,2084.2
Burst5:Trigger PDF Generation,80000,21,13,2432,19.17,0.000%,219.39086,446.54,342.61,2084.2
TOTAL,165000,21,13,2996,19.32,0.000%,215.95445,439.53,337.25,2084.1
