Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,21,14,1050,15.77,0.000%,204.78794,416.88,319.81,2084.5
Burst1:Trigger PDF Generation,5000,21,14,388,13.77,0.000%,206.27914,419.89,322.13,2084.4
Burst2:Trigger PDF Generation,10000,21,14,1063,20.60,0.000%,209.68317,426.85,327.45,2084.6
Burst3:Trigger PDF Generation,20000,21,13,1040,17.36,0.000%,217.85069,443.41,340.21,2084.2
Burst4:Trigger PDF Generation,40000,21,14,1110,16.53,0.000%,216.39401,440.44,337.94,2084.2
Burst5:Trigger PDF Generation,80000,21,14,3054,20.49,0.000%,216.86976,441.41,338.68,2084.2
TOTAL,165000,21,13,3054,18.79,0.000%,215.16173,437.94,336.01,2084.2
