timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557922711155,117,200,true,,2677,1575,117,0,0
1557922711229,130,200,true,,2673,1577,130,0,1
1557922711235,124,200,true,,2689,1572,124,0,0
1557922711239,133,200,true,,2685,1577,133,0,1
1557922711250,154,200,true,,2665,1576,154,0,1
1557922711274,118,200,true,,2681,1573,118,0,1
1557922711339,108,200,true,,2681,1574,108,0,0
1557922711367,114,200,true,,2689,1575,114,0,0
1557922711371,135,200,true,,2689,1573,135,0,1
1557922711375,135,200,true,,2681,1577,135,0,0
1557922711380,105,200,true,,2681,1579,105,0,1
1557922711476,135,200,true,,2677,1576,135,0,0
1557922711491,115,200,true,,2681,1575,115,0,1
1557922711494,126,200,true,,2681,1573,126,0,1
1557922711506,134,200,true,,2661,1571,134,0,0
1557922711507,126,200,true,,2677,1572,126,0,0
1557922711577,81,200,true,,2677,1575,81,0,0
1557922711594,86,200,true,,2697,1573,86,0,1
1557922711597,90,200,true,,2681,1571,90,0,1
1557922711606,114,200,true,,2661,1576,114,0,0
1557922711610,133,200,true,,2681,1574,133,0,0
1557922711677,99,200,true,,2677,1578,99,0,1
1557922711717,112,200,true,,2669,1573,112,0,2
1557922711727,120,200,true,,2689,1576,120,0,0
1557922711729,128,200,true,,2669,1571,128,0,4
1557922711733,122,200,true,,2673,1577,122,0,1
1557922711807,77,200,true,,2669,1575,77,0,1
1557922711829,101,200,true,,2685,1573,101,0,0
1557922711834,116,200,true,,2669,1575,116,0,1
1557922711855,177,200,true,,2685,1576,177,0,1
1557922711858,124,200,true,,2693,1577,124,0,1
1557922711930,122,200,true,,2673,1576,122,0,0
1557922711952,122,200,true,,2673,1573,122,0,0
1557922711975,119,200,true,,2673,1572,119,0,0
1557922711986,151,200,true,,2673,1577,151,0,1
1557922712055,196,200,true,,2677,1571,196,0,0
1557922712071,139,200,true,,2681,1579,139,0,0
1557922712135,182,200,true,,2689,1575,182,0,4
1557922712147,171,200,true,,2693,1576,171,0,0
1557922712176,189,200,true,,2685,1578,189,0,1
1557922712216,159,200,true,,2681,1572,159,0,0
1557922712276,204,200,true,,2669,1570,204,0,1
1557922712355,78,200,true,,2673,1575,78,0,3
1557922712357,209,200,true,,2693,1573,209,0,0
1557922712366,230,200,true,,2673,1574,230,0,0
1557922712395,218,200,true,,2669,1575,218,0,0
1557922712509,292,200,true,,2673,1578,292,0,3
1557922712513,146,200,true,,2677,1575,146,0,0
1557922712527,169,200,true,,2673,1572,169,0,0
1557922712593,65,200,true,,2681,1575,65,0,1
1557922712597,201,200,true,,2673,1576,201,0,0
1557922712594,80,200,true,,2665,1572,80,0,0
1557922712607,97,200,true,,2677,1568,97,0,1
1557922712615,257,200,true,,2689,1574,257,0,0
1557922712677,78,200,true,,2677,1575,78,0,2
1557922712726,128,200,true,,2669,1570,128,0,1
1557922712798,120,200,true,,2669,1571,120,0,0
1557922712812,196,200,true,,2681,1570,196,0,1
1557922712814,220,200,true,,2661,1575,220,0,7
