timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557922954873,18,200,true,,2685,1576,18,0,1
1557922954873,33,200,true,,2673,1577,33,0,1
1557922954877,21,200,true,,2685,1578,21,0,1
1557922954891,31,200,true,,2673,1570,31,0,1
1557922954895,21,200,true,,2673,1571,21,0,1
1557922954897,5899,200,true,,1928,1573,5899,0,0
1557922954911,19,200,true,,2677,1569,19,0,0
1557922954916,20,200,true,,2685,1575,20,0,0
1557922954921,43,200,true,,2677,1576,43,0,1
1557922954928,53,200,true,,2681,1571,53,0,1
1557922955195,278,200,true,,1926,1576,278,0,0
1557922955202,290,200,true,,1939,1572,290,0,0
1557922955219,320,200,true,,1935,1572,320,0,0
1557922955231,309,200,true,,1927,1575,309,0,0
1557922955284,355,200,true,,1937,1573,355,0,1
