Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,8,1,661,13.39,0.000%,392.52630,723.01,603.42,1886.2
Burst1:Trigger PDF Generation,5000,6,1,211,6.21,0.000%,480.90795,885.80,739.27,1886.1
Burst2:Trigger PDF Generation,10000,6,1,482,12.68,0.000%,541.62379,997.63,832.60,1886.1
Burst3:Trigger PDF Generation,20000,7,1,487,13.24,0.000%,556.06528,1024.21,854.80,1886.1
Burst4:Trigger PDF Generation,40000,7,1,540,14.69,0.000%,547.51020,1008.54,841.66,1886.3
Burst5:Trigger PDF Generation,80000,7,1,501,13.54,0.000%,553.81335,1020.12,851.35,1886.2
TOTAL,165000,7,1,661,13.58,0.000%,534.86163,985.21,822.21,1886.2
