timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557923699062,170,200,true,,2669,1575,170,0,0
1557923699075,176,200,true,,2681,1575,176,0,1
1557923699088,156,200,true,,2677,1573,156,0,0
1557923699161,142,200,true,,2689,1575,142,0,0
1557923699180,130,200,true,,2681,1574,130,0,0
1557923699195,132,200,true,,2681,1575,132,0,0
1557923699211,135,200,true,,2673,1575,135,0,0
1557923699232,143,200,true,,2689,1575,143,0,1
1557923699277,115,200,true,,2665,1573,115,0,1
1557923699296,100,200,true,,2693,1571,100,0,0
1557923699301,89,200,true,,2669,1576,89,0,1
1557923699314,133,200,true,,2645,1573,133,0,0
1557923699354,121,200,true,,2673,1570,121,0,1
1557923699399,121,200,true,,2681,1573,121,0,1
1557923699415,100,200,true,,2685,1577,100,0,1
1557923699420,123,200,true,,2693,1575,123,0,0
1557923699449,146,200,true,,2681,1574,146,0,0
1557923699456,101,200,true,,2677,1573,101,0,1
1557923699499,99,200,true,,2673,1578,99,0,1
1557923699535,114,200,true,,2681,1577,114,0,1
1557923699541,125,200,true,,2669,1570,125,0,1
1557923699550,92,200,true,,2677,1575,92,0,0
1557923699572,122,200,true,,2677,1570,122,0,0
1557923699640,139,200,true,,2673,1573,139,0,1
1557923699641,99,200,true,,2677,1572,99,0,0
1557923699652,79,200,true,,2693,1577,79,0,0
1557923699668,132,200,true,,2677,1574,132,0,1
1557923699690,139,200,true,,2673,1574,139,0,0
1557923699740,87,200,true,,2673,1576,87,0,0
1557923699751,82,200,true,,2681,1572,82,0,4
1557923699778,87,200,true,,2681,1575,87,0,0
1557923699780,137,200,true,,2685,1576,137,0,0
1557923699809,168,200,true,,2689,1572,168,0,2
1557923699858,106,200,true,,2673,1577,105,0,0
1557923699889,148,200,true,,2685,1572,148,0,0
1557923699920,141,200,true,,2685,1575,141,0,0
1557923699930,121,200,true,,2669,1571,121,0,1
1557923699995,214,200,true,,2681,1578,214,0,1
1557923700009,151,200,true,,2685,1578,151,0,1
1557923700031,141,200,true,,2681,1572,141,0,0
1557923700101,170,200,true,,2673,1573,170,0,1
1557923700157,147,200,true,,2681,1574,147,0,1
1557923700210,289,200,true,,2669,1575,289,0,1
1557923700257,261,200,true,,2673,1570,261,0,0
1557923700260,158,200,true,,2681,1575,158,0,0
1557923700287,255,200,true,,2677,1575,255,0,1
1557923700313,102,200,true,,2689,1575,102,0,0
1557923700360,102,200,true,,2673,1577,102,0,5
1557923700378,219,200,true,,2685,1575,219,0,0
1557923700397,136,200,true,,2673,1570,136,0,2
1557923700409,95,200,true,,2669,1577,95,0,0
1557923700434,146,200,true,,2673,1578,146,0,0
1557923700458,79,200,true,,2685,1571,79,0,0
1557923700499,89,200,true,,2669,1567,89,0,1
1557923700538,79,200,true,,2677,1574,79,0,0
1557923700547,112,200,true,,2693,1576,112,0,0
1557923700556,158,200,true,,2681,1572,158,0,1
1557923700621,260,200,true,,2681,1575,260,0,1
1557923700638,132,200,true,,2673,1574,132,0,0
1557923700668,129,200,true,,2689,1570,129,0,2
1557923700815,258,200,true,,2681,1571,258,0,0
1557923700819,180,200,true,,2673,1574,180,0,2
1557923700862,240,200,true,,2685,1574,240,0,3
1557923700868,320,200,true,,2677,1572,320,0,1
1557923700947,278,200,true,,2673,1576,278,0,1
1557923700960,143,200,true,,2681,1575,143,0,1
1557923701089,226,200,true,,2689,1575,226,0,0
1557923701119,170,200,true,,2681,1574,170,0,0
1557923701135,315,200,true,,2685,1576,315,0,0
1557923701137,266,200,true,,2677,1574,266,0,0
1557923701170,80,200,true,,2681,1576,80,0,1
1557923701198,60,200,true,,2701,1575,60,0,0
1557923701201,80,200,true,,2673,1574,80,0,0
1557923701228,263,200,true,,2677,1573,263,0,1
1557923701273,102,200,true,,2685,1577,102,0,1
1557923701279,143,200,true,,2665,1574,143,0,0
1557923701301,99,200,true,,2677,1578,99,0,1
1557923701330,101,200,true,,2677,1570,101,0,0
1557923701342,143,200,true,,2681,1577,143,0,0
1557923701381,107,200,true,,2693,1573,107,0,0
1557923701389,109,200,true,,2681,1575,109,0,0
1557923701402,71,200,true,,2673,1574,71,0,0
1557923701428,85,200,true,,2685,1568,85,0,0
1557923701436,134,200,true,,2673,1573,134,0,1
1557923701499,96,200,true,,2673,1575,96,0,1
1557923701510,124,200,true,,2669,1572,124,0,0
1557923701537,108,200,true,,2677,1575,108,0,0
1557923701560,170,200,true,,2689,1571,170,0,0
1557923701569,132,200,true,,2677,1571,132,0,1
1557923701590,79,200,true,,2681,1578,79,0,0
1557923701629,67,200,true,,2677,1574,67,0,0
1557923701637,137,200,true,,2681,1571,137,0,1
1557923701715,176,200,true,,2685,1573,176,0,0
1557923701719,149,200,true,,2677,1572,149,0,0
1557923701729,138,200,true,,2681,1582,138,0,0
1557923701758,128,200,true,,2677,1568,128,0,1
1557923701768,130,200,true,,2665,1570,130,0,1
1557923701778,48,200,true,,2677,1570,48,0,0
1557923701820,51,200,true,,2697,1574,51,0,1
1557923701860,140,200,true,,2685,1574,140,0,0
1557923701867,108,200,true,,2673,1571,108,0,0
1557923701890,174,200,true,,2673,1577,174,0,1
1557923701897,118,200,true,,2665,1574,118,0,0
1557923701978,87,200,true,,2677,1575,87,0,1
1557923701980,112,200,true,,2677,1570,112,0,1
1557923701993,95,200,true,,2689,1572,95,0,0
1557923702010,149,200,true,,2677,1578,149,0,1
1557923702020,199,200,true,,2689,1574,199,0,1
1557923702041,62,200,true,,2673,1578,62,0,2
1557923702051,70,200,true,,2685,1573,70,0,0
1557923702112,70,200,true,,2677,1576,70,0,1
1557923702115,121,200,true,,2681,1571,121,0,0
1557923702179,168,200,true,,2669,1571,168,0,0
1557923702181,129,200,true,,2693,1578,129,0,1
1557923702207,184,200,true,,2677,1573,184,0,0
1557923702229,113,200,true,,2689,1572,113,0,1
1557923702242,62,200,true,,2681,1578,62,0,0
1557923702248,40,200,true,,2673,1570,40,0,1
1557923702256,143,200,true,,2677,1577,143,0,1
1557923702257,75,200,true,,2673,1576,75,0,1
1557923702309,51,200,true,,2665,1574,51,0,0
1557923702316,67,200,true,,2677,1568,67,0,0
1557923702338,108,200,true,,2669,1572,108,0,1
1557923702351,94,200,true,,2681,1572,94,0,1
1557923702358,116,200,true,,2677,1573,116,0,1
1557923702391,52,200,true,,2669,1576,52,0,1
1557923702395,84,200,true,,2677,1578,84,0,0
1557923702411,94,200,true,,2685,1569,94,0,0
1557923702417,65,200,true,,2677,1576,65,0,0
1557923702419,60,200,true,,2685,1572,60,0,0
1557923702442,30,200,true,,2681,1573,30,0,1
1557923702466,23,200,true,,2685,1577,23,0,1
1557923702469,51,200,true,,2673,1577,51,0,0
1557923702470,78,200,true,,2673,1573,78,0,0
1557923702474,78,200,true,,2677,1575,78,0,0
1557923702498,78,200,true,,2673,1576,78,0,0
