Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,23322,33,7,257,13.96,0.000%,144.91835,273.45,222.78,1932.2
TOTAL,23322,33,7,257,13.96,0.000%,144.91835,273.45,222.78,1932.2
