Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,29,7,150,12.82,0.000%,157.14622,296.51,241.57,1932.1
Burst1:Trigger PDF Generation,5000,29,7,236,13.48,0.000%,156.44066,295.18,240.49,1932.1
Burst2:Trigger PDF Generation,10000,30,7,241,14.51,0.000%,158.47609,299.01,243.61,1932.1
Burst3:Trigger PDF Generation,20000,30,7,258,13.77,0.000%,158.62315,299.31,243.84,1932.2
Burst4:Trigger PDF Generation,40000,30,7,1019,16.04,0.000%,158.61309,299.28,243.83,1932.2
Burst5:Trigger PDF Generation,80000,30,7,421,15.53,0.000%,159.77950,301.47,245.62,1932.1
TOTAL,165000,30,7,1019,15.18,0.000%,158.95234,299.92,244.35,1932.1
