Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,29,7,252,15.29,0.000%,156.99819,296.24,241.35,1932.2
Burst1:Trigger PDF Generation,5000,31,7,165,16.23,0.000%,154.28765,291.11,237.17,1932.1
Burst2:Trigger PDF Generation,10000,29,7,242,15.59,0.000%,159.55834,301.07,245.28,1932.2
Burst3:Trigger PDF Generation,20000,29,7,414,16.32,0.000%,160.47758,302.80,246.70,1932.2
Burst4:Trigger PDF Generation,40000,29,7,271,15.22,0.000%,160.84088,303.48,247.25,1932.1
Burst5:Trigger PDF Generation,80000,30,7,405,15.55,0.000%,160.89360,303.60,247.33,1932.2
TOTAL,165000,30,7,414,15.57,0.000%,160.21175,302.30,246.29,1932.2
