Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,22410,34,7,266,14.21,0.000%,141.71705,267.41,217.85,1932.2
TOTAL,22410,34,7,266,14.21,0.000%,141.71705,267.41,217.85,1932.2
