Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,47560,25,14,3073,41.32,0.000%,190.19131,497.50,292.37,2678.6
TOTAL,47560,25,14,3073,41.32,0.000%,190.19131,497.50,292.37,2678.6
