timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557926061915,23,200,true,,2677,1568,23,0,1
1557926061927,923,200,true,,1923,1573,923,0,0
1557926061932,18,200,true,,2681,1569,18,0,0
1557926061934,19,200,true,,2685,1569,19,0,1
1557926061935,98,200,true,,2673,1576,98,0,1
1557926061938,22,200,true,,2685,1569,22,0,1
1557926062187,251,200,true,,1935,1569,251,0,1
1557926062190,257,200,true,,1924,1573,257,0,0
1557926062204,276,200,true,,1931,1579,276,0,0
1557926062226,287,200,true,,1924,1566,287,0,1
1557926062227,290,200,true,,1927,1574,290,0,0
