Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,11671,44,8,316,21.91,0.000%,109.97201,207.50,169.05,1932.1
TOTAL,11671,44,8,316,21.91,0.000%,109.97201,207.50,169.05,1932.1
