Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,45473,25,14,3154,49.08,0.000%,187.38925,490.18,288.06,2678.6
TOTAL,45473,25,14,3154,49.08,0.000%,187.38925,490.18,288.06,2678.6
