Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,12062,44,8,260,21.23,0.000%,109.59676,206.80,168.48,1932.2
TOTAL,12062,44,8,260,21.23,0.000%,109.59676,206.80,168.48,1932.2
