Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,23350,33,7,1049,14.35,0.000%,145.05268,273.69,222.98,1932.1
TOTAL,23350,33,7,1049,14.35,0.000%,145.05268,273.69,222.98,1932.1
