timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557921620021,163,200,true,,2681,1570,163,0,1
1557921620106,117,200,true,,2685,1579,117,0,1
1557921620135,120,200,true,,2685,1572,120,0,4
1557921620159,142,200,true,,2669,1577,142,0,2
1557921620179,160,200,true,,2677,1573,160,0,0
1557921620191,169,200,true,,2665,1578,169,0,0
1557921620247,139,200,true,,2693,1575,139,0,0
1557921620255,119,200,true,,2697,1575,119,0,0
1557921620264,104,200,true,,2673,1573,104,0,1
1557921620299,107,200,true,,2681,1572,107,0,0
1557921620312,131,200,true,,2681,1572,131,0,1
1557921620342,85,200,true,,2673,1569,85,0,0
1557921620369,103,200,true,,2685,1576,103,0,0
1557921620398,150,200,true,,2685,1576,150,0,1
1557921620421,107,200,true,,2685,1574,107,0,0
1557921620453,152,200,true,,2681,1578,152,0,0
1557921620477,134,200,true,,2681,1576,134,0,0
1557921620486,116,200,true,,2673,1577,116,0,0
1557921620518,118,200,true,,2673,1573,118,0,0
1557921620526,104,200,true,,2693,1577,104,0,1
1557921620555,68,200,true,,2661,1575,68,0,1
1557921620557,103,200,true,,2677,1574,103,0,0
1557921620570,92,200,true,,2685,1577,92,0,0
1557921620638,111,200,true,,2677,1579,111,0,0
1557921620659,140,200,true,,2693,1575,140,0,0
1557921620674,118,200,true,,2673,1576,118,0,1
1557921620708,150,200,true,,2681,1577,150,0,0
1557921620714,143,200,true,,2677,1571,143,0,0
1557921620738,99,200,true,,2673,1576,99,0,0
1557921620759,84,200,true,,2681,1577,84,0,0
1557921620772,112,200,true,,2685,1573,112,0,1
1557921620837,128,200,true,,2693,1577,128,0,0
1557921620839,100,200,true,,2673,1577,100,0,0
1557921620849,134,200,true,,2665,1567,134,0,1
1557921620880,107,200,true,,2669,1571,107,0,1
1557921620912,152,200,true,,2685,1573,152,0,0
1557921621039,200,200,true,,2673,1567,200,0,1
1557921621078,228,200,true,,2685,1579,228,0,1
1557921621079,198,200,true,,2685,1577,198,0,0
1557921621086,246,200,true,,2669,1575,246,0,1
1557921621111,190,200,true,,2669,1578,190,0,0
1557921621217,130,200,true,,2677,1578,130,0,1
1557921621250,171,200,true,,2689,1576,171,0,1
1557921621277,237,200,true,,2677,1575,237,0,1
1557921621278,59,200,true,,2669,1575,59,0,2
1557921621321,241,200,true,,2665,1574,241,0,0
1557921621328,77,200,true,,2677,1576,77,0,0
1557921621372,260,200,true,,2673,1571,260,0,0
1557921621418,140,200,true,,2685,1576,140,0,1
1557921621446,124,200,true,,2685,1575,124,0,1
1557921621460,127,200,true,,2677,1573,127,0,1
1557921621478,105,200,true,,2701,1575,105,0,0
1557921621518,99,200,true,,2693,1571,99,0,0
1557921621537,258,200,true,,2677,1575,258,0,2
1557921621545,98,200,true,,2681,1575,98,0,1
1557921621571,92,200,true,,2681,1576,92,0,0
1557921621680,142,200,true,,2681,1578,142,0,0
1557921621691,119,200,true,,2673,1570,119,0,1
1557921621715,169,200,true,,2673,1576,169,0,0
1557921621741,222,200,true,,2673,1574,222,0,0
1557921621749,288,200,true,,2709,1575,288,0,0
1557921621838,122,200,true,,2661,1577,122,0,1
1557921621919,227,200,true,,2685,1576,227,0,0
1557921621933,252,200,true,,2673,1569,252,0,1
1557921621954,115,200,true,,2681,1571,115,0,0
1557921621997,247,200,true,,2681,1574,247,0,1
1557921622026,284,200,true,,2669,1575,284,0,0
1557921622110,83,200,true,,2665,1573,83,0,1
1557921622138,140,200,true,,2661,1569,140,0,1
1557921622155,199,200,true,,2677,1574,199,0,0
1557921622180,246,200,true,,2685,1570,246,0,0
1557921622213,293,200,true,,2677,1573,293,0,0
1557921622255,99,200,true,,2685,1574,99,0,0
1557921622268,156,200,true,,2669,1576,156,0,0
1557921622317,178,200,true,,2673,1573,178,0,0
1557921622319,138,200,true,,2693,1576,138,0,1
1557921622330,74,200,true,,2673,1578,74,0,0
1557921622334,65,200,true,,2685,1573,65,0,0
1557921622373,159,200,true,,2677,1575,159,0,0
1557921622420,85,200,true,,2681,1578,85,0,0
1557921622429,109,200,true,,2685,1575,109,0,0
1557921622459,141,200,true,,2685,1579,141,0,0
1557921622494,120,200,true,,2673,1574,120,0,0
1557921622508,87,200,true,,2685,1574,87,0,1
1557921622516,185,200,true,,2677,1572,185,0,0
1557921622518,88,200,true,,2669,1574,88,0,1
1557921622540,80,200,true,,2685,1577,80,0,0
1557921622587,70,200,true,,2693,1573,70,0,0
1557921622593,98,200,true,,2685,1573,98,0,0
1557921622603,62,200,true,,2669,1574,62,0,0
1557921622619,110,200,true,,2685,1572,110,0,1
1557921622634,115,200,true,,2685,1572,115,0,1
1557921622691,103,200,true,,2685,1577,103,0,0
1557921622701,107,200,true,,2661,1580,107,0,1
1557921622718,83,200,true,,2673,1576,83,0,1
1557921622736,116,200,true,,2673,1580,116,0,0
1557921622793,91,200,true,,2681,1571,91,0,0
1557921622809,205,200,true,,2681,1575,205,0,0
1557921622825,133,200,true,,2681,1575,133,0,0
1557921622857,120,200,true,,2661,1572,120,0,0
1557921622889,95,200,true,,2669,1574,95,0,0
1557921622915,57,200,true,,2681,1573,57,0,0
1557921622937,218,200,true,,2685,1579,218,0,0
1557921623011,201,200,true,,2673,1576,201,0,0
1557921623039,123,200,true,,2685,1576,123,0,1
1557921623039,101,200,true,,2685,1569,101,0,1
1557921623100,274,200,true,,2673,1568,274,0,1
1557921623112,222,200,true,,2665,1578,222,0,1
1557921623117,74,200,true,,2689,1575,74,0,0
1557921623133,121,200,true,,2685,1574,121,0,1
1557921623178,65,200,true,,2681,1566,65,0,0
1557921623181,47,200,true,,2673,1576,47,0,3
1557921623210,109,200,true,,2697,1576,109,0,1
1557921623211,93,200,true,,2685,1574,93,0,1
1557921623239,57,200,true,,2677,1575,57,0,0
1557921623257,217,200,true,,2669,1574,217,0,2
1557921623272,60,200,true,,2673,1578,60,0,1
1557921623289,77,200,true,,2673,1576,77,0,0
1557921623296,117,200,true,,2697,1574,117,0,3
1557921623319,61,200,true,,2685,1577,61,0,0
1557921623340,50,200,true,,2697,1573,50,0,1
1557921623351,54,200,true,,2673,1572,54,0,1
1557921623360,120,200,true,,2677,1575,120,0,0
1557921623373,100,200,true,,2677,1575,100,0,0
1557921623395,55,200,true,,2693,1575,55,0,1
1557921623436,40,200,true,,2661,1573,40,0,0
1557921623450,89,200,true,,2677,1576,89,0,0
1557921623454,80,200,true,,2689,1574,80,0,1
1557921623456,136,200,true,,2689,1574,136,0,1
1557921623462,110,200,true,,2673,1575,110,0,0
1557921623488,51,200,true,,2669,1573,51,0,0
1557921623495,37,200,true,,2685,1573,37,0,0
1557921623517,62,200,true,,2677,1578,62,0,0
1557921623534,71,200,true,,2697,1573,71,0,0
1557921623542,91,200,true,,2673,1566,91,0,0
1557921623548,59,200,true,,2677,1578,59,0,0
1557921623575,79,200,true,,2669,1577,79,0,0
1557921623578,60,200,true,,2689,1572,60,0,0
1557921623606,63,200,true,,2661,1576,63,0,0
1557921623641,106,200,true,,2681,1576,106,0,1
1557921623649,42,200,true,,2673,1580,42,0,1
1557921623655,76,200,true,,2673,1574,76,0,1
1557921623679,103,200,true,,2669,1575,103,0,1
1557921623694,38,200,true,,2677,1573,38,0,1
1557921623700,58,200,true,,2681,1573,58,0,0
1557921623729,79,200,true,,2665,1575,79,0,0
1557921623732,183,200,true,,2661,1573,183,0,1
1557921623735,34,200,true,,2685,1577,34,0,1
1557921623738,58,200,true,,2681,1576,58,0,0
1557921623741,46,200,true,,2697,1573,46,0,0
1557921623759,20,200,true,,2677,1573,20,0,0
1557921623774,37,200,true,,2673,1575,37,0,0
1557921623782,52,200,true,,2681,1572,52,0,0
1557921623797,37,200,true,,2677,1571,37,0,0
1557921623800,58,200,true,,2681,1573,58,0,1
1557921623807,74,200,true,,2673,1569,74,0,0
1557921623834,51,200,true,,2685,1566,51,0,0
1557921623837,36,200,true,,2685,1573,36,0,1
1557921623840,65,200,true,,2681,1576,65,0,0
1557921623842,34,200,true,,2669,1575,34,0,0
1557921623879,81,200,true,,2681,1574,81,0,1
1557921623880,40,200,true,,2669,1568,40,0,1
1557921623881,43,200,true,,2701,1575,43,0,0
1557921623892,57,200,true,,2693,1576,57,0,0
1557921623901,20,200,true,,2689,1575,20,0,1
1557921623937,35,200,true,,2681,1570,35,0,1
1557921623952,60,200,true,,2669,1580,60,0,1
1557921623956,18,200,true,,2673,1570,18,0,0
1557921623961,81,200,true,,2685,1575,81,0,1
1557921623997,115,200,true,,2669,1577,115,0,1
1557921624021,68,200,true,,2685,1570,68,0,0
1557921624034,77,200,true,,2661,1572,77,0,1
1557921624038,40,200,true,,2681,1577,40,0,0
1557921624059,20,200,true,,2677,1569,20,0,1
1557921624061,26,200,true,,2685,1576,26,0,0
1557921624080,20,200,true,,2665,1573,20,0,0
1557921624093,71,200,true,,2681,1577,71,0,0
1557921624097,35,200,true,,2665,1577,35,0,0
1557921624112,31,200,true,,2673,1577,31,0,1
1557921624114,152,200,true,,2689,1572,152,0,0
1557921624122,28,200,true,,2677,1576,28,0,0
1557921624133,18,200,true,,2701,1570,18,0,0
1557921624140,27,200,true,,2697,1579,27,0,1
1557921624151,53,200,true,,2693,1573,53,0,1
1557921624174,40,200,true,,2669,1572,40,0,0
1557921624207,55,200,true,,2685,1568,55,0,0
1557921624214,39,200,true,,2681,1573,39,0,1
1557921624241,26,200,true,,2685,1581,26,0,1
1557921624258,135,200,true,,2685,1572,135,0,0
1557921624280,38,200,true,,2673,1575,38,0,1
1557921624287,75,200,true,,2685,1577,75,0,0
1557921624330,42,200,true,,2681,1581,42,0,1
1557921624357,76,200,true,,2689,1574,76,0,0
1557921624373,42,200,true,,2685,1573,42,0,0
1557921624376,117,200,true,,2677,1571,117,0,0
1557921624402,25,200,true,,2685,1579,25,0,1
1557921624413,55,200,true,,2677,1571,55,0,1
1557921624461,87,200,true,,2689,1577,87,0,0
1557921624470,56,200,true,,2697,1568,56,0,0
1557921624507,104,200,true,,2673,1577,104,0,0
1557921624573,111,200,true,,2677,1576,111,0,0
1557921624589,81,200,true,,2677,1582,81,0,1
1557921624657,186,200,true,,2689,1572,186,0,1
1557921624688,114,200,true,,2681,1576,114,0,0
1557921624760,102,200,true,,2669,1571,102,0,1
1557921624808,119,200,true,,2681,1571,119,0,0
1557921624814,224,200,true,,2697,1572,224,0,1
1557921624820,58,200,true,,2685,1573,58,0,0
1557921624869,48,200,true,,2681,1575,48,0,1
1557921624892,83,200,true,,2669,1576,83,0,1
1557921624899,84,200,true,,2677,1576,84,0,0
1557921624908,38,200,true,,2669,1583,38,0,0
1557921624951,51,200,true,,2685,1580,51,0,0
1557921624957,48,200,true,,2673,1573,48,0,0
1557921624958,65,200,true,,2673,1571,65,0,0
1557921624996,38,200,true,,2681,1576,38,0,1
1557921625032,35,200,true,,2681,1573,35,0,1
1557921625037,78,200,true,,2673,1580,78,0,0
1557921625067,34,200,true,,2677,1576,34,0,0
1557921625071,119,200,true,,2677,1576,119,0,1
1557921625086,48,200,true,,2685,1573,48,0,0
1557921625095,23,200,true,,2681,1571,23,0,0
1557921625113,45,200,true,,2677,1579,45,0,0
1557921625130,43,200,true,,2669,1570,43,0,0
1557921625137,41,200,true,,2689,1573,41,0,0
1557921625152,38,200,true,,2677,1576,38,0,0
1557921625158,27,200,true,,2681,1572,27,0,0
1557921625176,38,200,true,,2677,1571,38,0,0
1557921625188,29,200,true,,2673,1571,29,0,1
1557921625200,48,200,true,,2677,1576,48,0,1
1557921625211,33,200,true,,2689,1575,33,0,0
1557921625216,27,200,true,,2685,1572,27,0,0
1557921625220,19,200,true,,2677,1574,19,0,1
1557921625232,20,200,true,,2677,1571,20,0,0
1557921625240,23,200,true,,2681,1573,23,0,1
1557921625253,32,200,true,,2693,1573,32,0,1
1557921625268,35,200,true,,2669,1576,35,0,0
1557921625276,35,200,true,,2681,1574,35,0,0
1557921625279,25,200,true,,2681,1571,25,0,1
1557921625315,35,200,true,,2689,1572,35,0,0
1557921625329,52,200,true,,2681,1575,52,0,0
1557921625340,71,200,true,,2689,1572,71,0,1
1557921625374,33,200,true,,2673,1575,33,0,1
1557921625380,50,200,true,,2669,1574,50,0,0
1557921625401,85,200,true,,2685,1578,85,0,1
1557921625432,30,200,true,,2673,1568,30,0,0
1557921625437,56,200,true,,2677,1570,56,0,0
1557921625461,23,200,true,,2665,1579,23,0,0
1557921625461,28,200,true,,2673,1573,28,0,1
1557921625501,126,200,true,,2689,1570,126,0,0
1557921625510,48,200,true,,2673,1570,48,0,0
1557921625586,76,200,true,,2693,1576,76,0,1
1557921625591,128,200,true,,2669,1572,127,0,1
1557921625599,97,200,true,,2677,1579,97,0,0
1557921625652,61,200,true,,2681,1576,61,0,1
1557921625706,106,200,true,,2689,1575,106,0,0
1557921625721,134,200,true,,2677,1574,134,0,1
1557921625749,42,200,true,,2665,1575,42,0,1
1557921625751,98,200,true,,2681,1577,98,0,1
1557921625807,55,200,true,,2681,1577,55,0,0
1557921625831,23,200,true,,2681,1577,23,0,1
1557921625859,137,200,true,,2681,1576,137,0,1
1557921625875,43,200,true,,2677,1575,43,0,0
1557921625892,142,200,true,,2685,1577,142,0,1
1557921625908,48,200,true,,2681,1578,48,0,1
1557921625952,60,200,true,,2689,1568,60,0,1
1557921625956,80,200,true,,2681,1575,80,0,0
1557921625969,60,200,true,,2685,1579,60,0,1
1557921626009,52,200,true,,2693,1574,52,0,0
1557921626055,102,200,true,,2689,1569,102,0,1
1557921626071,101,200,true,,2681,1573,101,0,0
1557921626113,41,200,true,,2673,1568,41,0,0
1557921626115,59,200,true,,2677,1576,59,0,1
1557921626128,118,200,true,,2685,1571,118,0,1
1557921626155,41,200,true,,2677,1571,41,0,0
1557921626172,43,200,true,,2697,1573,43,0,0
1557921626187,71,200,true,,2677,1577,71,0,0
1557921626203,47,200,true,,2685,1576,47,0,1
1557921626217,30,200,true,,2689,1573,30,0,1
1557921626240,36,200,true,,2669,1572,36,0,0
1557921626257,39,200,true,,2673,1570,39,0,0
1557921626282,24,200,true,,2677,1571,24,0,0
1557921626288,115,200,true,,2681,1574,115,0,1
1557921626317,28,200,true,,2677,1581,28,0,1
1557921626344,26,200,true,,2673,1573,26,0,0
1557921626346,64,200,true,,2681,1574,64,0,1
1557921626370,129,200,true,,2681,1571,129,0,0
1557921626389,42,200,true,,2681,1574,42,0,0
1557921626401,30,200,true,,2677,1573,30,0,1
1557921626413,23,200,true,,2693,1574,23,0,1
1557921626425,23,200,true,,2681,1573,23,0,1
1557921626441,27,200,true,,2689,1579,27,0,0
1557921626456,111,200,true,,2669,1573,111,0,0
1557921626460,34,200,true,,2673,1573,34,0,1
1557921626490,33,200,true,,2669,1581,33,0,1
1557921626493,51,200,true,,2677,1574,51,0,0
1557921626522,28,200,true,,2681,1574,28,0,1
1557921626534,43,200,true,,2669,1572,43,0,0
1557921626535,74,200,true,,2677,1571,74,0,0
1557921626568,32,200,true,,2673,1578,32,0,0
1557921626577,54,200,true,,2681,1574,54,0,0
1557921626599,63,200,true,,2677,1577,63,0,0
1557921626607,29,200,true,,2689,1572,29,0,0
1557921626618,49,200,true,,2677,1576,49,0,0
1557921626640,40,200,true,,2677,1578,40,0,1
