Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,19,12,704,15.68,0.000%,228.14903,459.43,354.51,2062.0
Burst1:Trigger PDF Generation,5000,19,13,222,9.98,0.000%,235.78233,474.82,366.35,2062.1
Burst2:Trigger PDF Generation,10000,18,12,259,11.23,0.000%,242.31263,487.95,376.51,2062.1
Burst3:Trigger PDF Generation,20000,19,12,1035,12.23,0.000%,244.32255,492.04,379.65,2062.2
Burst4:Trigger PDF Generation,40000,19,12,1025,13.42,0.000%,245.53434,494.48,381.52,2062.2
Burst5:Trigger PDF Generation,80000,18,12,1046,11.61,0.000%,247.95976,499.36,385.29,2062.2
TOTAL,165000,19,12,1046,12.36,0.000%,244.67680,492.75,380.19,2062.2
