Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,20,12,734,16.58,0.000%,223.27908,449.64,346.94,2062.1
Burst1:Trigger PDF Generation,5000,19,12,232,11.03,0.000%,239.40627,482.13,372.00,2062.2
Burst2:Trigger PDF Generation,10000,19,12,220,9.66,0.000%,243.10198,489.58,377.74,2062.2
Burst3:Trigger PDF Generation,20000,19,12,2968,25.16,0.000%,235.34396,473.92,365.69,2062.1
Burst4:Trigger PDF Generation,40000,19,12,1031,12.61,0.000%,243.49859,490.33,378.36,2062.0
Burst5:Trigger PDF Generation,80000,19,12,1029,12.49,0.000%,246.44579,496.26,382.94,2062.0
TOTAL,165000,19,12,2968,14.73,0.000%,242.18442,487.69,376.32,2062.0
