Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,19,12,1023,18.42,0.000%,225.42831,453.95,350.28,2062.1
Burst1:Trigger PDF Generation,5000,18,12,222,10.94,0.000%,241.10329,485.55,374.64,2062.2
Burst2:Trigger PDF Generation,10000,18,12,1059,14.29,0.000%,245.80896,494.97,381.95,2061.9
Burst3:Trigger PDF Generation,20000,19,12,229,10.53,0.000%,243.55789,490.46,378.45,2062.1
Burst4:Trigger PDF Generation,40000,19,12,1020,11.88,0.000%,240.90871,485.11,374.33,2062.0
Burst5:Trigger PDF Generation,80000,19,12,1036,12.58,0.000%,244.91495,493.19,380.56,2062.1
TOTAL,165000,19,12,1059,12.69,0.000%,242.21961,487.76,376.37,2062.0
