Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,19,12,719,15.54,0.000%,233.76502,470.77,363.24,2062.2
Burst1:Trigger PDF Generation,5000,18,12,222,10.53,0.000%,243.03699,489.39,377.66,2062.0
Burst2:Trigger PDF Generation,10000,19,12,249,10.73,0.000%,243.77758,490.89,378.79,2062.0
Burst3:Trigger PDF Generation,20000,18,12,1020,12.29,0.000%,244.23603,491.82,379.50,2062.0
Burst4:Trigger PDF Generation,40000,18,12,1037,10.98,0.000%,250.81672,505.09,389.73,2062.1
Burst5:Trigger PDF Generation,80000,19,12,1021,11.19,0.000%,246.66159,496.71,383.28,2062.1
TOTAL,165000,18,12,1037,11.54,0.000%,246.00136,495.38,382.25,2062.1
