Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,19,12,1044,21.59,0.000%,224.06955,451.25,348.18,2062.2
Burst1:Trigger PDF Generation,5000,18,12,250,11.20,0.000%,242.23633,487.78,376.40,2062.0
Burst2:Trigger PDF Generation,10000,18,12,225,10.27,0.000%,248.21903,499.84,385.71,2062.0
Burst3:Trigger PDF Generation,20000,19,12,224,9.89,0.000%,244.72615,492.83,380.26,2062.1
Burst4:Trigger PDF Generation,40000,19,12,1021,11.69,0.000%,244.39271,492.15,379.75,2062.1
Burst5:Trigger PDF Generation,80000,19,12,1038,11.67,0.000%,246.66463,496.74,383.28,2062.2
TOTAL,165000,19,12,1044,12.23,0.000%,244.12943,491.63,379.34,2062.1
