Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Warmup:Trigger PDF Generation,10000,19,12,676,15.76,0.000%,231.12837,465.43,359.15,2062.1
Burst1:Trigger PDF Generation,5000,19,12,226,12.33,0.000%,233.36134,469.93,362.61,2062.1
Burst2:Trigger PDF Generation,10000,19,12,1025,15.06,0.000%,232.23409,467.65,360.87,2062.0
Burst3:Trigger PDF Generation,20000,18,12,227,9.89,0.000%,248.67889,500.77,386.40,2062.1
Burst4:Trigger PDF Generation,40000,18,12,1034,11.34,0.000%,248.07278,499.56,385.46,2062.1
Burst5:Trigger PDF Generation,80000,18,12,1049,13.78,0.000%,248.78639,501.00,386.57,2062.1
TOTAL,165000,19,12,1049,12.98,0.000%,245.67537,494.73,381.74,2062.1
