Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
,43784,26,14,5018,57.62,0.002%,179.40880,469.28,275.79,2678.5
TOTAL,43784,26,14,5018,57.62,0.002%,179.40880,469.28,275.79,2678.5
